province_state,country_region,date,confirmed,deaths,recovered,active,admin2
Aichi,Japan,2020-11-15,7712,96,6327,1289,
Akita,Japan,2020-11-15,73,0,65,8,
Aomori,Japan,2020-11-15,278,6,235,37,
Chiba,Japan,2020-11-15,5782,84,5091,607,
Ehime,Japan,2020-11-15,129,6,110,13,
Fukui,Japan,2020-11-15,272,11,246,15,
Fukuoka,Japan,2020-11-15,5373,103,5156,114,
Fukushima,Japan,2020-11-15,438,6,389,43,
Gifu,Japan,2020-11-15,809,12,693,104,
Gunma,Japan,2020-11-15,956,20,890,46,
Hiroshima,Japan,2020-11-15,697,5,658,34,
Hokkaido,Japan,2020-11-15,5483,126,3324,2033,
Hyogo,Japan,2020-11-15,3974,70,3399,505,
Ibaraki,Japan,2020-11-15,967,19,779,169,
Ishikawa,Japan,2020-11-15,830,49,766,15,
Iwate,Japan,2020-11-15,75,0,28,47,
Kagawa,Japan,2020-11-15,115,2,100,13,
Kagoshima,Japan,2020-11-15,557,15,470,72,
Kanagawa,Japan,2020-11-15,10173,183,8932,1058,
Kochi,Japan,2020-11-15,144,4,140,0,
Kumamoto,Japan,2020-11-15,915,10,815,90,
Kyoto,Japan,2020-11-15,2296,33,2065,198,
Mie,Japan,2020-11-15,619,6,564,49,
Miyagi,Japan,2020-11-15,989,7,778,204,
Miyazaki,Japan,2020-11-15,373,1,370,2,
Nagano,Japan,2020-11-15,460,6,345,109,
Nagasaki,Japan,2020-11-15,251,3,242,6,
Nara,Japan,2020-11-15,844,11,672,161,
Niigata,Japan,2020-11-15,226,0,184,42,
Oita,Japan,2020-11-15,164,3,158,3,
Okayama,Japan,2020-11-15,396,10,259,127,
Okinawa,Japan,2020-11-15,3744,66,3347,331,
Osaka,Japan,2020-11-15,15421,254,13080,2087,
Port Quarantine,Japan,2020-11-15,1354,1,514,839,
Saga,Japan,2020-11-15,276,1,266,9,
Saitama,Japan,2020-11-15,6823,118,5864,841,
Shiga,Japan,2020-11-15,663,9,559,95,
Shimane,Japan,2020-11-15,141,0,141,0,
Shizuoka,Japan,2020-11-15,882,4,687,191,
Tochigi,Japan,2020-11-15,516,2,490,24,
Tokushima,Japan,2020-11-15,171,9,156,6,
Tokyo,Japan,2020-11-15,34789,464,21368,12957,
Tottori,Japan,2020-11-15,52,0,41,11,
Toyama,Japan,2020-11-15,428,26,397,5,
Unknown,Japan,2020-11-15,8,0,8,0,
Wakayama,Japan,2020-11-15,326,4,272,50,
Yamagata,Japan,2020-11-15,98,1,83,14,
Yamaguchi,Japan,2020-11-15,266,2,211,53,
Yamanashi,Japan,2020-11-15,283,6,220,57,
Aichi,Japan,2021-02-17,25416,489,23592,1335,
Akita,Japan,2021-02-17,269,6,246,17,
Aomori,Japan,2021-02-17,812,18,721,73,
Chiba,Japan,2021-02-17,25006,373,22127,2506,
Ehime,Japan,2021-02-17,1029,22,969,38,
Fukui,Japan,2021-02-17,535,25,487,23,
Fukuoka,Japan,2021-02-17,17566,250,16024,1292,
Fukushima,Japan,2021-02-17,1861,66,1658,137,
Gifu,Japan,2021-02-17,4527,94,4259,174,
Gunma,Japan,2021-02-17,4324,81,3978,265,
Hiroshima,Japan,2021-02-17,4986,97,4742,147,
Hokkaido,Japan,2021-02-17,18635,644,17157,834,
Hyogo,Japan,2021-02-17,17720,499,16333,888,
Ibaraki,Japan,2021-02-17,5441,101,4945,395,
Ishikawa,Japan,2021-02-17,1730,61,1474,195,
Iwate,Japan,2021-02-17,539,29,482,28,
Kagawa,Japan,2021-02-17,724,18,662,44,
Kagoshima,Japan,2021-02-17,1739,26,1637,76,
Kanagawa,Japan,2021-02-17,43636,630,41504,1502,
Kochi,Japan,2021-02-17,882,17,845,20,
Kumamoto,Japan,2021-02-17,3427,71,3252,104,
Kyoto,Japan,2021-02-17,8957,145,8258,554,
